countries,Livestock_prior,Waste_prior,OG_prior,Rice_prior,Coal_prior,Reservoirs_prior,OtherAnth_prior,BiomassBurn_prior,Wetlands_prior,Termites_prior,Seeps_prior,AnthroTotal_prior,Total_prior,UNFCCC_total_prior,Livestock_post,Waste_post,OG_post,Rice_post,Coal_post,Reservoirs_post,OtherAnth_post,BiomassBurn_post,Wetlands_post,Termites_post,Seeps_post,AnthroTotal_post,Total_post,UNFCCC_total_post,A
Afghanistan,0.4539716296685495,0.004997222694013305,0.01001403544369516,0.0,8.463538874320918e-05,0.011552030205682327,0.013361875694372142,2.607940115985868e-05,0.003537896956205858,0.05072858860805101,0.000502958775623357,0.49398142909505566,0.5487769528360957,0.4824293988893733,0.6002384505472264,0.005985842783176969,0.016520884887278504,0.0,5.5504923131974415e-05,0.0063988466311192755,0.015644900365584784,3.0816518891833e-05,0.007708659719323187,0.08166826190375293,0.0011567061348286692,0.6448444301375178,0.7354088744143145,0.6384455835063986,0.5775414608531649
Albania,0.05374578765811518,0.03497718617301725,0.00081250263811791,0.0,8.463901992671035e-05,0.015714401385650438,0.003331185665373239,0.00045397779608383714,0.022677863115622393,0.0017653079577901463,0.00259295810220298,0.10866570254020072,0.13615580951190007,0.09295130115455029,0.025907950162048762,0.01858993166293528,0.00032720348219700284,0.0,4.809928617656154e-05,0.008868852819300416,0.0017163943867629634,0.0001875427982677264,0.01085896158823854,0.0007054646588940805,0.0009875585709635377,0.05545843179942099,0.06819795941578488,0.046589578980120575,0.3803154516573068
Algeria,0.1976150758520298,0.38573626418016477,1.0064772771971098,0.0,0.0,0.0036181529696480757,0.017660215225426504,0.0020122409695840747,0.03673801214841556,0.038953596031584735,0.005823182716624319,1.6111069854243791,1.6946340172905878,1.607488832454731,0.13905678527825596,0.45040425626029323,1.1409526675007415,0.0,0.0,0.004140832105856667,0.021208828468400037,0.0018209019643377798,0.020034315553326226,0.03066813079747805,0.007527701666966142,1.7557633696135475,1.8158144195956558,1.7516225375076908,0.6912147585128575
Angola,0.43580405890241797,0.041114018244125694,0.7928193095277553,0.00033434190189117035,0.0,0.10614614546707636,0.06960432380530407,1.0311198305905747,0.543775863211168,0.2062463149806381,0.0003081757538842513,1.4458221978485706,3.227272382384836,1.3396760523814941,0.31832770465746935,0.015756678627695146,0.22448514881257242,9.174798153367582e-05,0.0,0.059842318094645304,0.032168915835856966,0.6321176628547425,0.41404184209733547,0.12261671361956492,0.00014076186982502732,0.6506725140097729,1.8195894944512407,0.5908301959151275,0.5984157645788675
Argentina,2.724768627927025,0.7342565964104708,0.3471492466030557,0.017651364555814453,0.0002620088984813356,0.307535444320218,0.10152155253829269,0.08091750251351097,1.9065700996180872,0.1885534038184011,0.013557855270425745,4.233144841253357,6.422743702473782,3.92560939693314,3.53258748286638,1.2468134521654133,0.48957490404789517,0.015963002284042214,0.0002582208504705331,0.24200566529949497,0.14162330532732792,0.12637752868504443,1.8297114091591935,0.2575950112988849,0.01851559754795547,5.668826032841025,7.901025579532104,5.42682036754153,0.6358547141141708
Armenia,0.044222341415044324,0.02666631927618085,0.03708463714772685,0.0,0.0,0.00019618383138378143,0.003580752161120003,0.00022110594472929006,0.000633669430647595,0.002053257462709443,0.002226820834259167,0.11175023383145581,0.1168850875038013,0.11155405000007203,0.0341588767495276,0.03549735395852055,0.039491821897167795,0.0,0.0,0.00014052066784268322,0.004224477338370737,0.00016961878984009,0.00046501837324058534,0.001542269172125601,0.001666132037269969,0.11351305061142937,0.11735608898390562,0.11337252994358668,0.2540070364260638
Australia,2.627496698801077,0.01078150822043961,0.2839127307471117,0.0,1.0069951969894715,0.07242897234666137,0.06049440419537096,0.8816760773225601,1.566655327638844,0.8134097646219758,0.021461055111848735,4.0621095113001315,7.34531173599536,3.98968053895347,3.7017872274584684,0.01721888612302623,0.7167022843130466,0.0,0.9010117131819864,0.1419745272561413,0.1834182668350018,2.546508316708279,5.831737264395351,1.8895027462354308,0.049875086441490475,5.66211290516767,15.979736318948223,5.520138377911529,0.7653429920638845
Austria,0.17195884820143004,0.035088032938922833,0.010151586244820538,0.0,0.0,0.03448715112986901,0.03611977609688169,0.00016056905629375267,0.01863397347112708,0.005856536011417668,0.00765845466015471,0.2878053946119241,0.3201149278109173,0.2533182434820551,0.3201804919152209,0.055462660516052344,0.01403717247888794,0.0,0.0,0.05504738125660453,0.054712296416599485,0.00021207279007464945,0.0325071494076216,0.009820404056128917,0.012005951875461216,0.4994400025833652,0.5539855807126515,0.44439262132676066,0.387065645448312
Azerbaijan,0.19377869958859556,0.03207533044168836,0.4419535166419051,0.0,0.0,0.04858509631936555,0.0057798622628535065,0.0008005280515865389,0.002030448936384216,0.007171726236431326,0.11929458837240926,0.7221725052544081,0.8514697968512196,0.6735874089350425,0.26861417678241345,0.04494177847670213,0.7852275466822974,0.0,0.0,0.0520984930113178,0.007602234223822445,0.0015921751889785007,0.002842850251526942,0.007797217064472344,0.19191175993976928,1.1584842291765531,1.3626282316213003,1.1063857361652354,0.6149022514775122
Bangladesh,0.8443430505122324,0.6410823008942038,0.06238428392316954,0.3843996553907034,0.011787047985785283,0.04921979275255712,0.15475308129962054,0.006388800375980995,4.497668729841876,0.018197353784057263,0.0008419671765076062,2.147969212758272,6.671066063936693,2.0987494200057153,0.8483090638140122,1.1910011430685667,0.07459534473989969,2.6779853963631854,0.014783187643613275,0.030459927220777044,0.20159449479257868,0.005256929348728823,3.7271902967613277,0.015363291439102773,0.0007583830630524788,5.038728557642632,8.787297458254844,5.008268630421855,0.9445358229070496
